name,percentage_male,japanese_name,classfication,attack,defense,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,height_m,hp,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Bulbasaur,88.1,Fushigidaneフシギダネ,Seed Pokémon,49,49,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,318,45,1059860,0.7,45,1,65,65,45,grass,poison,6.9,1,0
Ivysaur,88.1,Fushigisouフシギソウ,Seed Pokémon,62,63,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,405,45,1059860,1.0,60,2,80,80,60,grass,poison,13.0,1,0
Venusaur,88.1,Fushigibanaフシギバナ,Seed Pokémon,100,123,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,625,45,1059860,2.0,80,3,122,120,80,grass,poison,100.0,1,0
Charmander,88.1,Hitokageヒトカゲ,Lizard Pokémon,52,43,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,1059860,0.6,39,4,60,50,65,fire,,8.5,1,0
Charmeleon,88.1,Lizardoリザード,Flame Pokémon,64,58,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,1059860,1.1,58,5,80,65,80,fire,,19.0,1,0
Charizard,88.1,Lizardonリザードン,Flame Pokémon,0.00,0.00,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,70,634,45,1059860,1.7,78,6,159,115,100,fire,flying,90.5,1,0
Squirtle,88.1,Zenigameゼニガメ,Tiny Turtle Pokémon,48,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,1059860,0.5,44,7,50,64,43,water,,9.0,1,0
Wartortle,88.1,Kameilカメール,Turtle Pokémon,63,80,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,1059860,1.0,59,8,65,80,58,water,,22.5,1,0
Blastoise,88.1,Kamexカメックス,Shellfish Pokémon,103,120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,630,45,1059860,1.6,79,9,135,115,78,water,,85.5,1,0
Caterpie,50,Caterpieキャタピー,Worm Pokémon,30,35,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,195,255,1000000,0.3,45,10,20,20,45,bug,,2.9,1,0
